G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
62390623,21.8,135.5,0.0,0,6.5,6,6.5,6,6.5
62390624,127.5,280.9,0.0,0,12.4,4,2.5,3,9.1
62390625,61.2,115.9,0.5,0,0.0,1,0.0,1,0.0
62390632,61.9,142.0,0.0,0,0.0,1,0.0,1,0.0
62390633,80.7,259.3,0.0,0,19.1,7,13.6,7,16.5
62390634,168.6,290.7,0.0,0,21.3,1,5.7,5,12.9
62390635,48.9,138.0,0.0,0,12.1,3,6.0,2,9.0
62391297,65.4,173.6,0.0,0,16.3,5,4.7,6,10.1
62391298,38.3,108.6,0.0,0,17.4,4,17.4,4,17.4
62391299,1.6,2.3,0.1,0,0.0,1,0.0,1,0.0
62392207,218.6,592.3,0.0,0,32.3,6,6.7,7,23.5
62392208,324.5,636.1,0.0,0,36.7,5,18.1,5,29.4
62392209,276.3,603.3,0.0,0,35.2,5,18.0,5,28.7
62392216,50.4,186.8,0.0,0,15.8,7,15.8,7,15.8
62392217,371.5,611.6,0.6,0,36.7,7,9.8,1,22.2
62392218,571.2,720.1,368.5,0,28.0,1,5.5,1,16.5
62392219,526.8,731.2,253.0,0,30.7,4,8.5,8,23.1
62392226,71.5,202.9,0.0,0,17.7,7,17.7,7,17.7
62392227,238.5,512.9,0.0,0,31.4,8,11.6,1,22.7
62392228,208.9,454.1,0.0,0,31.3,1,14.4,1,25.5
62392229,201.3,438.7,0.0,0,29.5,1,12.3,2,21.8
62392237,4.9,11.0,0.0,0,0.0,1,0.0,1,0.0
62392300,101.2,309.8,0.0,0,27.1,4,15.7,4,21.0
62392310,182.7,429.3,0.0,0,32.7,3,12.8,3,24.2
62392320,93.2,245.6,0.0,0,16.0,2,11.9,2,14.0
62392729,2.3,3.2,1.1,0,0.0,1,0.0,1,0.0
62392739,1.5,2.9,0.0,0,0.0,1,0.0,1,0.0
62392749,6.2,25.1,0.0,0,2.6,7,1.1,8,2.0
62392758,1.2,4.1,0.0,0,0.0,1,0.0,1,0.0
62392759,24.3,61.0,0.0,0,4.3,6,1.1,6,2.7
62392768,6.9,26.3,0.0,0,4.0,7,2.1,7,2.8
62392769,47.6,110.2,0.0,0,7.8,6,1.9,6,4.2
62392778,14.6,33.9,0.0,0,4.8,7,2.6,7,3.5
62392779,59.4,185.9,5.2,0,15.9,1,1.1,4,6.6
62392788,21.5,54.0,0.0,0,4.8,6,1.9,7,3.6
62392789,80.6,203.0,19.4,0,16.0,5,3.5,6,8.2
62392798,27.7,60.8,0.0,0,6.0,7,3.7,6,5.0
62392799,119.7,270.2,31.8,0,16.3,7,5.0,7,10.8
62393708,23.8,50.6,0.0,0,6.6,8,2.4,7,4.1
62393709,89.8,230.0,5.1,0,19.0,7,2.2,8,10.1
62393718,33.2,57.6,0.0,0,7.0,7,1.7,7,4.2
62393719,133.7,313.3,12.0,0,20.4,5,6.8,6,15.4
62393728,25.9,47.2,0.0,0,4.8,7,2.5,8,3.8
62393729,159.3,429.2,7.7,0,26.2,7,8.7,7,17.9
62393738,29.5,44.0,0.0,0,4.1,7,1.5,7,3.4
62393739,133.8,430.4,0.1,0,29.5,7,5.0,7,14.6
62393748,0.9,0.9,0.9,0,0.0,1,0.0,1,0.0
62393749,162.7,414.6,0.0,0,28.8,7,9.1,7,18.7
62393759,137.0,397.5,0.0,0,27.8,7,10.5,7,20.9
62393769,72.9,217.5,0.0,0,22.1,8,4.9,7,13.3
62393779,21.5,57.5,0.0,0,15.0,7,6.9,8,10.4
62393789,1.5,3.7,0.0,0,0.0,1,0.0,1,0.0
62393799,2.3,2.7,1.7,0,0.0,1,0.0,1,0.0
G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
62400604,40.2,140.1,0.0,0,0.0,1,0.0,1,0.0
62400605,148.1,321.1,0.0,0,17.2,8,2.1,8,11.9
62400606,269.6,429.7,125.2,0,19.1,6,1.3,4,10.0
62400607,375.9,504.1,213.9,0,23.5,5,2.9,1,13.0
62400608,427.2,565.7,268.6,0,20.6,5,10.7,5,14.3
62400609,596.7,681.3,454.6,0,17.4,8,4.5,8,10.5
62400615,146.9,309.1,0.0,0,29.2,7,14.7,8,21.6
62400616,374.5,484.3,199.5,0,23.6,7,4.0,5,13.6
62400617,315.1,471.7,139.9,0,26.0,2,6.1,5,14.7
62400618,329.6,526.0,170.6,0,21.7,2,7.4,1,14.2
62400619,508.2,653.4,352.1,0,18.2,8,4.3,1,12.9
62400625,81.2,219.2,0.1,0,23.9,7,15.0,7,17.9
62400626,204.8,359.2,46.5,0,26.3,1,3.5,8,16.1
62400627,218.2,395.7,65.2,0,21.1,2,4.5,1,13.5
62400628,392.3,502.0,212.4,0,19.0,6,2.1,6,12.0
62400629,370.5,551.3,207.3,0,20.6,8,4.7,2,12.1
62400635,18.5,100.9,0.0,0,15.8,7,13.5,7,14.7
62400636,94.6,283.1,3.1,0,20.9,7,2.3,2,8.5
62400637,213.2,370.5,44.4,0,18.3,6,0.8,7,12.6
62400638,291.7,430.5,149.0,0,16.4,8,5.2,1,10.2
62400639,280.2,397.1,128.1,0,16.9,1,0.9,3,10.5
62400645,4.3,12.1,0.0,0,0.0,1,0.0,1,0.0
62400646,90.4,273.7,0.0,0,13.2,7,2.3,1,8.7
62400647,213.4,337.4,99.8,0,13.3,6,4.8,2,8.0
62400648,187.2,308.5,79.1,0,12.2,1,2.5,2,7.5
62400649,192.9,340.0,85.8,0,14.3,7,1.6,1,10.0
62400656,122.9,271.3,0.0,0,14.9,7,3.9,7,10.9
62400657,211.4,332.9,96.7,0,9.9,3,1.1,3,7.0
62400658,126.2,234.4,59.9,0,12.0,2,1.9,1,6.9
62400659,232.7,393.6,88.2,0,15.9,6,4.9,7,11.4
62400665,2.5,4.3,1.6,0,0.0,1,0.0,1,0.0
62400666,93.2,223.1,0.0,0,12.2,7,2.2,6,8.5
62400667,193.0,311.5,96.0,0,15.4,7,1.3,7,8.1
62400668,114.5,202.3,46.2,0,10.2,3,1.6,1,6.8
62400669,184.0,289.9,88.9,0,12.4,7,3.4,8,8.4
62400675,1.2,3.0,0.0,0,0.0,1,0.0,1,0.0
62400676,48.8,142.7,0.0,0,10.3,8,3.8,8,6.8
62400677,133.3,262.6,51.1,0,16.9,8,2.0,8,9.3
62400678,83.9,177.0,34.7,0,10.1,7,0.8,4,5.5
62400679,185.3,303.5,69.0,0,13.3,7,1.6,5,8.5
62400686,35.0,102.3,0.0,0,7.3,7,5.6,7,6.8
62400687,115.0,180.7,28.2,0,10.2,7,1.0,4,5.1
62400688,62.5,133.9,24.0,0,7.9,4,0.8,3,5.4
62400689,146.0,262.3,40.1,0,14.0,7,4.5,2,9.2
62400696,17.6,61.0,0.0,0,8.0,7,0.5,1,4.2
62400697,127.7,282.3,0.0,0,17.6,8,3.2,7,10.9
62400698,105.7,283.9,20.8,0,17.7,4,0.9,7,10.3
62400699,100.8,222.3,18.7,0,15.5,8,2.7,2,8.4
62400700,535.4,671.1,341.6,0,19.1,1,1.2,1,11.7
62400701,494.9,622.3,301.2,0,22.7,1,3.1,3,13.8
62400702,343.9,541.8,195.4,0,15.3,2,7.0,3,11.5
62400703,230.1,348.4,161.4,0,13.9,2,3.5,5,8.6
62400704,206.6,325.2,139.9,0,10.6,2,0.3,2,7.2
62400705,241.6,360.6,146.7,0,12.0,6,5.2,6,9.0
62400706,231.0,386.0,136.3,0,10.9,5,3.3,3,7.7
62400707,249.9,433.8,136.4,0,16.5,5,4.7,7,10.4
62400708,297.9,432.4,185.9,0,13.7,5,5.0,5,9.9
62400709,294.3,385.2,196.3,0,11.7,5,1.8,7,8.0
62400710,463.4,580.4,327.7,0,16.3,4,0.4,3,9.8
62400711,382.2,573.2,249.0,0,18.7,4,4.6,1,11.3
62400712,329.7,494.3,204.0,0,20.8,5,0.9,4,10.9
62400713,315.9,431.6,197.8,0,16.3,4,2.8,2,10.3
62400714,290.7,386.6,179.7,0,12.9,5,3.8,6,8.0
62400715,335.8,391.6,234.4,0,14.8,5,0.3,7,5.4
62400716,334.8,431.5,188.1,0,17.5,4,1.3,8,8.3
62400717,362.8,458.1,227.9,0,19.3,6,1.8,2,10.4
62400718,403.7,502.2,308.5,0,15.2,1,2.9,6,9.8
62400719,433.8,513.3,332.1,0,15.0,5,2.1,1,8.9
62400720,418.4,605.9,225.4,0,23.9,8,3.8,5,14.9
62400721,509.0,601.8,366.4,0,17.3,1,1.1,5,9.5
62400722,442.6,566.4,289.0,0,15.4,3,5.9,4,11.2
62400723,349.7,439.1,240.0,0,13.0,7,3.5,5,8.4
62400724,377.8,440.3,329.0,0,9.1,5,0.9,4,3.8
62400725,374.8,428.3,321.5,0,7.2,1,0.0,4,3.5
62400726,333.2,431.9,252.2,0,11.1,2,3.1,1,6.7
62400727,303.4,411.2,223.3,0,11.9,2,2.0,7,7.0
62400728,358.5,432.8,274.5,0,14.7,1,3.1,1,8.4
62400729,405.4,502.9,297.5,0,12.8,8,1.4,4,6.8
62400730,278.6,491.3,145.6,0,22.4,1,4.7,1,12.0
62400731,426.8,582.2,262.9,0,21.3,8,5.6,7,13.0
62400732,511.3,601.7,338.6,0,15.9,1,4.1,2,9.0
62400733,465.0,569.9,333.7,0,15.2,4,0.8,6,8.6
62400734,382.0,491.7,280.5,0,11.6,3,2.0,3,7.2
62400735,329.3,404.9,235.5,0,12.2,5,1.6,4,6.0
62400736,296.5,387.6,216.3,0,13.2,1,2.7,3,7.2
62400737,274.8,361.3,207.5,0,12.0,6,1.9,7,5.4
62400738,335.1,501.9,231.9,0,22.0,7,2.9,1,8.7
62400739,397.1,471.0,290.0,0,11.1,6,2.4,6,6.3
62400740,341.7,460.8,175.1,0,14.6,6,5.7,3,9.3
62400741,384.1,585.6,219.3,0,22.8,2,7.4,7,14.0
62400742,449.8,672.3,279.4,0,21.1,6,4.3,8,15.0
62400743,518.3,650.1,385.1,0,15.2,5,3.7,3,8.3
62400744,384.9,489.0,294.3,0,11.5,5,2.0,4,6.6
62400745,325.0,417.4,225.7,0,13.1,5,3.2,2,7.7
62400746,252.7,367.0,193.2,0,6.7,4,1.0,1,4.7
62400747,256.6,386.5,188.6,0,11.5,8,2.0,2,6.3
62400748,312.5,500.5,206.8,0,19.3,8,2.4,7,7.9
62400749,383.8,491.8,264.0,0,10.0,6,3.2,8,7.5
62400750,304.3,421.8,165.8,0,14.3,2,5.7,2,10.0
62400751,264.3,428.4,148.7,0,18.0,7,5.5,7,11.1
62400752,401.9,612.5,233.6,0,21.4,1,3.9,1,13.8
62400753,423.7,585.0,314.4,0,19.3,8,6.0,2,12.1
62400754,403.7,502.1,288.6,0,13.6,8,2.1,2,7.9
62400755,337.0,444.0,213.8,0,11.7,3,4.3,4,8.5
62400756,221.1,289.3,181.3,0,7.5,2,0.8,2,4.1
62400757,261.5,391.6,176.9,0,14.3,7,3.8,3,9.5
62400758,352.2,493.9,204.4,0,25.1,7,2.0,5,11.4
62400759,352.5,479.3,216.3,0,14.9,2,1.5,3,9.4
62400760,232.4,342.1,118.5,0,13.4,2,1.5,5,7.3
62400761,232.8,385.0,125.1,0,18.7,7,2.9,7,11.0
62400762,273.9,410.5,120.3,0,26.2,3,0.9,4,12.3
62400763,282.1,412.1,158.3,0,14.5,8,4.9,8,10.1
62400764,328.0,408.0,215.8,0,15.3,8,0.7,6,7.5
62400765,295.5,409.8,204.6,0,13.5,3,2.7,4,7.8
62400766,236.1,303.7,168.2,0,7.7,2,1.1,1,4.4
62400767,215.3,331.3,160.0,0,13.2,8,2.6,5,6.8
62400768,345.3,487.7,153.3,0,26.4,7,4.2,1,15.3
62400769,279.3,412.2,172.1,0,17.8,3,2.7,7,11.3
62400770,181.6,282.6,92.6,0,13.8,3,1.9,8,6.6
62400771,231.8,410.9,110.1,0,21.0,7,4.0,7,10.8
62400772,210.5,402.6,81.1,0,25.7,3,4.9,3,14.0
62400773,243.2,363.6,122.0,0,15.0,5,2.0,6,8.7
62400774,329.8,394.4,209.9,0,12.7,6,1.0,8,6.5
62400775,338.2,406.1,224.2,0,16.7,2,2.1,7,10.2
62400776,224.8,318.1,163.2,0,11.1,3,1.8,3,4.9
62400777,197.3,321.7,143.8,0,7.0,2,1.1,1,3.8
62400778,202.1,350.6,129.1,0,13.2,1,2.5,5,8.3
62400779,214.3,362.5,125.6,0,15.0,8,3.2,3,9.4
62400780,138.6,241.6,55.1,0,14.0,3,0.5,8,7.8
62400781,200.8,357.2,58.2,0,14.4,2,2.7,7,8.5
62400782,159.4,323.0,55.5,0,17.8,2,4.1,5,10.8
62400783,221.7,328.0,95.7,0,13.9,1,1.2,7,9.1
62400784,302.5,367.9,188.3,0,13.4,7,0.3,5,6.5
62400785,297.0,367.1,200.3,0,8.2,2,1.3,2,4.7
62400786,248.0,326.9,178.8,0,7.2,4,0.9,6,3.5
62400787,220.8,290.4,158.1,0,9.2,6,0.1,6,4.3
62400788,204.9,291.2,126.1,0,12.2,4,1.9,2,6.9
62400789,177.0,311.0,115.1,0,12.4,5,3.3,7,7.5
62400790,111.4,243.8,31.8,0,15.9,2,1.6,1,9.1
62400791,110.5,244.3,35.5,0,17.8,6,3.2,8,10.3
62400792,148.3,251.9,55.5,0,11.9,4,1.3,2,5.7
62400793,193.6,354.4,93.5,0,14.8,5,2.9,7,7.9
62400794,283.3,426.1,157.0,0,13.6,7,4.8,1,9.0
62400795,362.3,466.7,280.4,0,13.5,5,2.2,3,8.1
62400796,319.5,479.1,216.7,0,16.9,3,2.1,4,9.1
62400797,260.7,322.9,198.8,0,6.5,4,1.3,3,3.4
62400798,235.5,311.9,157.6,0,9.0,2,2.2,2,5.6
62400799,232.5,333.6,153.4,0,17.0,6,1.4,8,7.2
62401606,4.0,15.8,0.0,0,0.0,1,0.0,1,0.0
62401607,61.4,222.5,0.0,0,12.7,1,4.7,8,9.5
62401608,101.0,200.3,2.6,0,14.7,8,2.2,2,10.0
62401609,66.0,150.2,11.2,0,10.2,3,4.2,3,7.0
62401617,1.3,3.4,0.0,0,0.0,1,0.0,1,0.0
62401618,22.7,111.9,0.0,0,11.8,8,0.7,1,5.8
62401619,32.3,122.0,1.2,0,11.1,2,1.4,7,5.8
62401628,0.6,2.0,0.0,0,0.4,8,0.4,8,0.4
62401629,33.9,113.6,0.0,0,8.4,7,0.6,8,4.6
62401639,13.0,49.4,0.0,0,6.1,8,0.5,8,1.8
62401649,2.3,7.6,0.0,0,0.0,1,0.0,1,0.0
62401700,80.5,290.2,17.8,0,18.6,6,2.3,1,9.5
62401701,166.8,286.3,44.6,0,14.7,7,2.9,8,8.7
62401702,206.6,326.4,98.6,0,10.7,4,0.1,4,7.3
62401703,270.0,409.5,124.7,0,15.5,5,4.4,6,9.8
62401704,312.4,470.8,154.4,0,16.4,7,7.0,5,12.6
62401705,468.4,550.5,368.0,0,12.7,5,2.7,3,7.7
62401706,414.9,531.5,271.2,0,16.3,5,5.6,4,11.1
62401707,337.3,522.0,247.3,0,16.0,4,5.0,5,10.3
62401708,285.0,398.5,185.0,0,12.4,4,4.6,3,9.2
62401709,269.8,362.4,172.2,0,18.4,7,0.9,6,8.8
62401710,128.4,291.8,18.0,0,16.3,7,2.2,8,8.8
62401711,145.5,289.2,61.9,0,13.8,2,2.2,8,8.2
62401712,183.0,310.5,88.9,0,15.2,8,3.6,7,7.9
62401713,282.7,390.9,171.0,0,14.4,8,3.5,8,8.1
62401714,379.1,468.4,263.1,0,16.3,6,1.6,3,7.1
62401715,398.1,563.5,255.9,0,18.5,1,4.3,5,11.1
62401716,422.7,560.3,277.5,0,16.8,8,2.8,6,10.5
62401717,452.3,590.6,305.1,0,18.7,3,4.0,8,11.4
62401718,391.9,530.7,256.5,0,15.5,5,2.1,3,8.8
62401719,334.6,477.7,226.4,0,12.8,5,3.5,5,9.2
62401720,107.8,188.8,28.0,0,11.4,3,0.3,7,6.1
62401721,120.5,241.5,33.5,0,13.6,8,2.8,2,7.6
62401722,204.4,285.7,103.0,0,9.6,7,2.1,7,5.6
62401723,201.3,303.3,103.1,0,10.6,8,1.7,7,6.1
62401724,293.1,454.3,186.9,0,16.5,2,3.6,7,9.8
62401725,278.9,409.4,163.5,0,16.7,7,1.3,1,8.2
62401726,420.3,527.1,256.0,0,18.2,6,1.1,4,10.3
62401727,510.1,612.4,355.6,0,14.7,7,2.2,7,8.7
62401728,494.6,612.7,336.1,0,19.0,2,1.9,5,12.2
62401729,434.9,550.1,314.9,0,17.9,1,0.4,6,10.0
62401730,44.3,158.2,5.8,0,8.5,8,1.6,1,4.8
62401731,120.6,240.5,23.1,0,14.9,6,2.2,4,8.9
62401732,153.3,262.3,53.9,0,10.3,2,2.2,6,6.3
62401733,196.2,299.1,78.9,0,15.9,6,5.9,1,9.2
62401734,226.3,316.0,149.6,0,11.1,7,0.3,1,5.1
62401735,263.4,418.6,139.9,0,16.6,7,4.1,3,10.2
62401736,379.6,520.2,248.0,0,11.1,1,4.1,1,8.4
62401737,447.2,578.0,275.1,0,19.8,7,6.5,8,13.0
62401738,415.1,551.7,287.7,0,19.4,3,3.5,8,10.6
62401739,326.8,466.4,180.4,0,17.4,8,1.8,1,11.5
62401740,18.3,59.4,0.0,0,4.5,8,0.8,7,2.4
62401741,94.5,181.2,25.5,0,9.6,7,2.6,1,5.9
62401742,120.6,234.4,29.0,0,12.2,6,2.6,4,7.7
62401743,249.2,351.6,96.5,0,17.5,6,3.1,4,10.1
62401744,207.9,283.2,121.9,0,7.9,2,1.9,8,5.5
62401745,201.8,347.5,92.2,0,16.1,6,1.5,2,9.7
62401746,293.7,404.6,178.4,0,16.4,3,1.8,6,8.3
62401747,337.4,473.5,182.1,0,17.0,8,7.6,8,13.0
62401748,343.9,476.3,212.4,0,15.2,8,4.4,8,9.9
62401749,244.8,402.5,105.8,0,15.3,3,3.9,2,10.2
62401750,16.8,49.7,0.0,0,4.7,7,1.2,7,2.8
62401751,64.6,155.4,7.7,0,7.5,2,1.6,3,4.7
62401752,128.7,265.9,16.0,0,16.5,7,1.2,8,7.4
62401753,199.4,304.7,96.9,0,13.5,2,2.2,8,8.3
62401754,202.3,322.9,93.6,0,17.1,7,2.2,2,8.6
62401755,191.8,393.4,64.6,0,20.1,7,3.4,4,10.6
62401756,293.0,402.0,182.4,0,15.0,1,1.3,1,7.8
62401757,232.8,384.4,129.0,0,13.9,8,1.7,2,8.1
62401758,248.8,392.5,125.6,0,17.4,8,4.0,2,11.5
62401759,257.3,406.5,74.9,0,19.9,3,2.4,1,11.4
62401760,18.0,50.9,0.0,0,2.1,7,2.1,7,2.1
62401761,21.3,63.7,0.0,0,4.5,1,0.1,5,2.1
62401762,60.2,153.1,4.3,0,7.5,7,1.8,8,4.9
62401763,135.9,230.9,47.8,0,11.6,7,1.8,4,7.3
62401764,154.3,251.0,56.2,0,10.2,7,2.6,8,6.4
62401765,139.8,282.7,46.7,0,17.4,7,2.3,2,8.8
62401766,216.5,359.0,57.6,0,16.8,8,2.7,2,10.8
62401767,190.7,334.9,69.5,0,13.5,1,1.5,3,9.3
62401768,185.8,327.5,65.9,0,16.4,7,4.1,8,8.5
62401769,165.9,307.7,41.5,0,17.3,2,6.7,3,10.8
62401771,5.5,20.0,0.0,0,1.8,8,1.8,8,1.8
62401772,40.0,181.2,0.0,0,7.3,1,1.8,7,4.0
62401773,95.3,220.4,26.0,0,10.0,1,2.6,2,6.2
62401774,100.2,181.0,23.2,0,9.9,2,3.5,1,6.7
62401775,88.5,169.1,33.0,0,11.0,3,3.8,1,6.8
62401776,137.9,231.0,55.7,0,8.2,6,1.4,4,5.0
62401777,159.0,259.6,76.1,0,14.5,3,2.7,1,8.1
62401778,113.0,259.2,23.6,0,12.3,8,2.3,1,8.0
62401779,81.6,216.7,7.2,0,12.3,7,3.2,2,8.6
62401782,14.4,42.1,0.0,0,3.6,7,0.5,7,1.8
62401783,38.2,80.0,4.5,0,5.6,8,0.3,6,3.4
62401784,68.6,148.4,6.4,0,7.1,1,0.6,6,4.1
62401785,91.6,191.3,17.5,0,11.9,7,2.0,8,6.6
62401786,153.7,246.2,56.8,0,13.1,2,2.1,1,6.2
62401787,105.2,182.7,24.6,0,9.7,1,1.5,8,5.6
62401788,58.5,140.6,8.9,0,7.3,2,2.2,3,4.8
62401789,24.0,118.3,0.0,0,8.5,1,1.1,3,4.4
62401792,7.1,21.9,0.0,0,1.9,7,0.5,1,1.3
62401793,21.2,73.3,4.0,0,5.7,6,0.5,6,2.9
62401794,63.5,111.8,4.8,0,8.2,6,0.8,3,4.6
62401795,106.3,191.4,33.8,0,9.0,6,2.0,7,5.4
62401796,129.1,191.9,54.2,0,11.5,2,1.6,2,5.8
62401797,54.8,143.9,0.0,0,7.8,3,2.2,1,5.5
62401798,19.4,50.0,0.0,0,6.1,2,1.9,2,3.1
62401799,12.0,24.3,0.0,0,3.0,2,3.0,2,3.0
62402702,11.7,26.0,0.0,0,1.9,5,1.2,7,1.6
62402703,25.2,56.9,1.4,0,3.8,7,0.7,8,2.3
62402704,62.6,103.5,10.2,0,7.1,8,0.8,2,4.7
62402705,76.0,122.3,26.9,0,5.9,7,1.1,6,3.1
62402706,100.9,165.4,19.5,0,12.5,2,1.7,7,8.4
62402707,22.4,62.9,0.0,0,5.6,2,2.5,2,3.6
62402712,17.1,40.1,0.0,0,3.5,7,1.3,7,2.5
62402713,37.2,46.9,14.1,0,2.8,4,0.4,4,1.5
62402714,54.2,100.1,12.3,0,5.5,6,0.9,6,3.2
62402715,72.0,113.6,31.5,0,7.8,1,1.7,1,4.6
62402716,25.0,57.3,0.0,0,9.7,1,1.5,3,3.5
62402717,5.1,25.3,0.0,0,3.7,2,3.7,2,3.7
62402721,1.5,3.9,0.0,0,0.5,8,0.5,8,0.5
62402722,14.0,40.1,0.0,0,3.2,7,0.4,7,1.6
62402723,31.2,42.7,9.2,0,2.7,8,0.2,5,1.4
62402724,53.5,104.4,25.4,0,4.1,8,0.8,2,2.3
62402725,48.4,114.2,0.0,0,5.2,3,1.1,1,3.4
62402726,14.9,32.7,0.0,0,2.9,3,1.9,2,2.5
62402731,0.8,2.2,0.0,0,0.2,8,0.2,8,0.2
62402732,7.5,16.2,0.0,0,1.2,7,0.6,1,0.9
62402733,22.3,39.3,2.8,0,2.3,1,0.6,7,1.3
62402734,28.6,49.2,0.0,0,3.8,2,1.0,8,2.6
62402735,25.6,56.7,0.0,0,4.8,1,2.6,1,3.8
62402742,4.5,11.0,0.0,0,0.9,7,0.6,7,0.7
62402743,8.8,21.2,0.0,0,2.0,2,0.7,2,1.2
62402744,0.8,2.3,0.0,0,0.0,1,0.0,1,0.0
62402752,1.4,4.1,0.0,0,0.7,8,0.5,8,0.6
62402753,3.0,9.1,0.0,0,0.5,8,0.2,7,0.4
62402762,4.7,12.4,0.0,0,0.0,1,0.0,1,0.0
62402763,3.6,10.4,0.0,0,0.0,1,0.0,1,0.0
62400174,1.1,1.7,0.1,0,0.0,1,0.0,1,0.0
62400175,46.5,125.5,0.0,0,5.4,7,4.4,3,4.9
62400176,3.7,8.3,0.3,0,13.7,4,13.7,4,13.7
62400184,62.1,179.9,0.0,0,13.0,7,5.8,6,9.6
62400185,127.9,261.6,0.1,0,14.2,5,5.6,5,10.3
62400186,95.7,248.0,0.0,0,16.1,4,7.9,4,11.4
62400187,1.6,2.9,0.2,0,0.0,1,0.0,1,0.0
62400193,22.4,94.0,0.0,0,11.4,6,3.9,6,7.1
62400194,94.0,232.3,0.1,0,14.3,6,2.7,6,9.4
62400195,188.0,304.3,50.1,0,15.2,8,2.4,8,9.1
62400196,223.7,338.3,0.0,0,23.9,5,2.6,5,12.9
62400197,117.4,240.7,0.0,0,12.6,4,10.2,4,11.8
62400096,0.5,0.5,0.5,0,0.0,1,0.0,1,0.0
62400097,1.4,1.9,0.9,0,0.0,1,0.0,1,0.0
62401005,2.4,6.0,0.0,0,0.0,1,0.0,1,0.0
62401006,18.1,32.4,0.0,0,2.3,5,1.2,5,1.8
62401007,10.6,34.1,0.0,0,2.3,4,1.9,4,2.1
62401008,1.8,1.8,1.8,0,0.0,1,0.0,1,0.0
62401014,1.7,2.6,0.9,0,0.0,1,0.0,1,0.0
62401015,25.3,61.5,0.0,0,3.6,6,2.3,6,2.9
62401016,57.0,137.2,10.5,0,6.7,5,3.3,6,4.3
62401017,38.3,105.5,0.0,0,6.0,5,1.8,4,3.9
62401018,18.1,51.6,0.0,0,4.0,5,1.3,4,2.3
62401019,20.7,43.4,0.0,0,3.2,6,1.0,7,1.9
62401024,20.0,45.6,0.0,0,2.5,6,1.0,5,1.8
62401025,45.0,88.0,0.0,0,6.1,7,1.0,3,4.0
62401026,146.4,271.4,29.1,0,15.2,5,3.7,6,9.4
62401027,144.9,271.8,34.5,0,14.9,5,4.2,4,9.3
62401028,70.8,222.8,8.1,0,11.9,4,1.8,4,6.7
62401029,55.0,156.7,11.3,0,9.9,5,0.8,7,3.7
62401032,1.8,4.6,0.4,0,0.0,1,0.0,1,0.0
62401033,13.6,37.1,0.0,0,2.9,6,0.3,6,1.7
62401034,50.9,97.9,0.0,0,5.8,6,3.0,6,4.1
62401035,98.5,244.0,19.5,0,18.5,6,3.2,6,8.4
62401036,181.6,326.3,33.5,0,19.8,5,4.0,5,12.2
62401037,224.3,323.8,87.9,0,11.0,4,3.1,6,7.0
62401038,159.3,276.7,49.8,0,17.5,3,3.5,5,8.9
62401039,128.3,233.4,29.1,0,9.9,6,1.2,5,6.4
62401042,14.6,33.2,0.0,0,2.9,6,1.1,7,2.3
62401043,41.4,77.3,0.0,0,4.2,6,1.7,6,3.1
62401044,94.3,230.1,38.2,0,15.4,6,2.8,6,6.0
62401045,214.4,399.6,80.0,0,18.0,5,6.5,6,12.6
62401046,227.0,360.5,97.0,0,14.9,4,1.8,3,7.9
62401047,266.8,341.7,117.6,0,13.8,7,1.3,5,7.4
62401048,218.4,350.9,58.8,0,15.8,4,7.4,4,11.8
62401049,185.3,292.0,55.4,0,16.0,7,2.5,6,7.0
62401052,28.4,65.9,0.0,0,4.9,6,0.9,8,2.8
62401053,70.2,111.4,24.4,0,5.0,6,2.5,6,3.6
62401054,176.3,325.7,65.9,0,15.9,6,5.2,6,11.2
62401055,384.9,507.5,222.9,0,15.5,7,2.0,8,11.0
62401056,362.9,485.2,192.3,0,18.7,4,2.9,4,11.9
62401057,295.3,420.2,136.7,0,17.7,4,1.3,8,10.0
62401058,254.5,381.7,86.0,0,17.6,3,2.7,5,11.2
62401059,238.7,374.2,82.0,0,17.4,6,2.1,3,9.1
62401061,0.2,0.2,0.2,0,0.0,1,0.0,1,0.0
62401062,41.2,93.1,0.0,0,6.8,7,3.1,6,5.1
62401063,115.9,239.8,54.2,0,8.2,7,2.1,6,5.7
62401064,259.1,460.6,95.4,0,23.5,5,6.1,5,13.7
62401065,402.0,527.7,191.9,0,19.7,7,3.7,8,12.2
62401066,463.9,533.4,340.5,0,10.3,4,3.2,4,6.9
62401067,345.6,461.9,208.0,0,19.7,6,3.8,4,12.0
62401068,317.6,456.0,129.0,0,16.3,4,1.6,7,10.5
62401069,272.4,370.2,139.0,0,17.5,3,3.9,1,9.5
62401071,7.9,27.2,0.0,0,1.5,6,1.5,6,1.5
62401072,46.1,109.4,0.0,0,9.5,8,2.0,7,4.9
62401073,141.9,254.3,24.5,0,16.1,8,2.7,5,9.0
62401074,322.9,490.7,98.9,0,23.9,8,4.5,5,15.2
62401075,441.9,505.5,330.8,0,26.5,1,3.5,1,9.9
62401076,465.2,515.7,373.7,0,17.6,1,2.0,1,8.1
62401077,422.3,511.2,269.4,0,14.4,4,2.5,4,8.9
62401078,387.1,495.0,226.1,0,11.7,4,1.7,6,8.2
