G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
65431697,458.8,523.4,377.6,0,8.9,4,1.5,3,5.3
65431698,377.7,451.0,308.7,0,8.7,3,3.2,2,6.0
65431699,353.4,433.5,301.0,0,10.5,6,3.2,6,6.2
65431700,394.3,481.7,315.4,0,12.2,5,1.6,6,6.6
65431701,401.9,473.6,333.4,0,10.5,5,1.8,8,4.9
65431702,416.0,481.2,355.7,0,7.6,6,0.5,5,5.1
65431703,452.7,513.5,384.6,0,9.0,5,1.6,7,5.8
65431704,481.8,530.2,419.3,0,8.0,5,1.3,5,4.8
65431705,514.7,550.7,457.9,0,7.5,6,1.6,6,4.3
65431706,550.4,581.2,501.0,0,5.4,6,1.0,8,2.9
65431707,585.2,614.6,559.5,0,4.0,7,1.2,8,2.5
65431708,618.4,646.1,571.5,0,4.3,7,1.5,8,2.4
65431709,667.3,714.1,617.0,0,5.0,7,3.0,7,3.8
65431710,398.6,475.0,325.6,0,7.5,1,1.5,1,5.1
65431711,391.9,472.8,328.0,0,9.9,2,2.2,3,6.4
65431712,396.4,472.1,332.0,0,12.1,1,1.7,6,6.6
65431713,433.3,517.5,351.1,0,13.4,8,0.7,8,7.4
65431714,486.8,531.9,394.2,0,12.3,1,1.6,5,5.9
65431715,497.7,553.5,403.0,0,8.0,1,1.7,8,4.5
65431716,525.4,566.8,460.2,0,6.0,1,1.0,1,3.3
65431717,550.4,605.7,489.8,0,7.1,8,2.5,8,4.3
65431718,594.5,645.4,523.6,0,7.0,1,3.0,8,5.1
65431719,653.8,701.4,579.8,0,8.2,8,2.2,1,4.1
65431720,360.7,440.4,298.3,0,11.7,5,3.4,5,8.4
65431721,376.0,450.9,312.8,0,10.6,5,2.0,7,6.0
65431722,413.6,500.5,332.9,0,13.1,5,0.8,3,6.3
65431723,434.6,525.6,354.6,0,10.9,4,1.3,7,6.2
65431724,424.0,513.4,368.6,0,11.0,5,3.1,4,6.3
65431725,449.5,511.9,394.1,0,10.2,5,0.7,6,5.2
65431726,473.1,544.4,419.1,0,10.9,5,3.0,5,6.7
65431727,501.5,561.0,448.9,0,12.8,5,1.8,1,6.3
65431728,576.3,696.3,486.2,0,18.1,5,5.3,7,8.9
65431729,613.8,655.0,555.8,0,5.4,8,0.8,6,2.9
65431730,363.8,447.5,302.1,0,13.5,5,1.9,5,7.8
65431731,376.9,451.4,315.3,0,9.5,1,2.4,4,5.4
65431732,385.1,462.5,329.5,0,8.1,5,1.1,8,5.6
65431733,448.4,531.6,368.2,0,9.8,1,1.0,2,6.1
65431734,450.8,511.6,372.3,0,8.0,1,2.4,7,4.8
65431735,489.2,537.4,408.0,0,9.3,8,0.4,6,5.9
65431736,525.8,582.6,438.8,0,9.4,5,3.2,6,5.7
65431737,563.2,620.7,488.0,0,10.4,7,0.8,5,6.2
65431738,634.0,696.1,544.0,0,11.9,7,1.9,1,5.7
65431739,622.9,641.5,574.5,0,5.4,2,0.3,2,2.8
65431740,428.4,464.3,367.0,0,7.8,4,1.1,1,3.6
65431741,419.3,464.0,345.0,0,8.2,4,0.3,6,4.9
65431742,423.4,480.8,345.2,0,12.1,4,1.0,7,6.1
65431743,404.6,492.8,350.3,0,12.5,5,2.7,5,6.6
65431744,431.0,511.4,366.4,0,11.0,5,1.8,8,6.7
65431745,445.5,521.1,385.3,0,9.4,4,0.7,6,6.1
65431746,475.3,582.6,405.6,0,12.3,8,3.0,8,7.8
65431747,565.9,683.7,428.2,0,17.3,1,2.4,6,8.6
65431748,557.4,650.4,469.6,0,11.8,1,2.4,8,7.6
65431749,580.0,629.2,505.0,0,8.8,2,3.3,7,5.6
65431750,414.8,462.6,353.8,0,6.1,8,0.7,7,2.9
65431751,448.8,483.8,386.4,0,5.2,5,0.8,5,2.5
65431752,469.4,495.3,411.0,0,6.7,4,0.7,5,2.9
65431753,487.9,580.2,415.4,0,16.6,6,2.1,6,7.3
65431754,563.2,660.7,447.5,0,16.2,5,5.0,6,9.9
65431755,542.3,660.5,430.2,0,15.0,5,2.7,5,10.0
65431756,522.0,640.0,421.1,0,14.3,5,5.0,5,8.4
65431757,507.8,631.3,428.4,0,10.4,5,1.4,8,7.7
65431758,554.1,648.8,457.3,0,11.3,6,2.4,6,6.2
65431759,604.2,645.1,515.7,0,7.0,6,0.1,5,3.5
65431760,412.8,452.3,352.3,0,6.4,5,1.5,8,3.7
65431761,429.0,475.8,379.1,0,7.2,1,1.9,8,4.7
65431762,454.2,492.3,411.0,0,5.7,1,2.5,8,4.2
65431763,492.5,539.9,445.3,0,7.2,7,1.7,6,4.3
65431764,609.5,708.4,513.5,0,14.7,8,1.4,8,9.6
65431765,665.2,708.0,601.3,0,12.4,1,0.3,7,5.5
65431766,663.3,762.7,543.1,0,12.8,5,2.2,6,8.2
65431767,623.1,727.7,525.0,0,11.4,5,5.9,8,9.5
65431768,635.7,722.3,536.4,0,11.0,2,2.7,1,6.0
65431769,592.7,654.7,498.8,0,8.8,3,0.8,1,5.9
65431770,413.4,460.8,358.2,0,3.8,8,1.5,1,2.5
65431771,434.5,480.3,369.9,0,8.6,1,1.7,8,3.8
65431772,470.7,526.0,388.0,0,7.9,8,1.5,7,5.0
65431773,545.1,641.6,479.8,0,12.2,5,3.8,5,7.4
65431774,599.2,685.4,501.8,0,13.1,5,4.0,5,8.3
65431775,652.5,785.3,566.0,0,14.8,6,3.3,1,9.8
65431776,748.5,897.4,619.1,0,19.1,4,5.5,6,13.0
65431777,582.8,761.8,474.5,0,18.2,4,4.8,1,11.6
65431778,516.4,669.4,435.1,0,14.0,1,4.4,8,9.1
65431779,533.9,646.0,447.9,0,14.1,2,0.6,1,6.6
65431780,387.9,422.8,331.4,0,8.3,8,1.0,4,4.0
65431781,390.6,460.7,334.9,0,10.7,7,1.8,8,5.0
65431782,457.8,530.8,378.3,0,10.5,1,3.7,7,7.4
65431783,525.2,626.7,414.3,0,11.4,8,6.3,7,8.7
65431784,570.9,702.9,457.7,0,19.2,8,6.4,8,10.9
65431785,745.1,900.8,623.8,0,20.9,1,5.5,8,13.2
65431786,696.2,900.2,527.7,0,23.4,1,2.4,6,15.3
65431787,563.1,716.5,461.1,0,17.0,2,5.9,3,9.6
65431788,451.2,529.2,398.3,0,12.5,7,2.7,8,7.1
65431789,520.0,571.5,454.5,0,11.6,7,1.8,2,5.1
65431790,356.1,420.9,311.6,0,8.8,5,1.9,7,4.6
65431791,378.9,452.2,324.8,0,9.0,5,1.7,5,5.4
65431792,417.1,472.7,353.6,0,10.0,5,1.2,6,4.5
65431793,442.5,483.8,387.4,0,6.9,6,1.3,6,3.8
65431794,514.6,630.6,438.8,0,17.2,8,4.6,6,8.4
65431795,589.5,728.9,501.6,0,18.5,1,3.7,2,10.3
65431796,511.0,646.7,412.4,0,16.6,2,3.3,1,9.5
65431797,476.4,605.5,393.2,0,12.5,1,2.3,1,7.7
65431798,439.8,537.3,370.1,0,12.0,7,0.3,6,6.1
65431799,473.7,536.6,408.9,0,11.9,2,0.9,8,5.0
65432100,722.5,773.2,671.7,0,5.4,1,1.1,2,3.5
65432101,672.5,760.5,636.0,0,8.1,2,0.5,8,3.9
65432102,682.5,732.6,646.4,0,5.6,8,2.1,6,3.6
65432103,758.9,827.5,684.7,0,7.3,8,4.6,7,5.8
65432104,883.0,1007.5,774.7,0,15.0,7,4.7,8,10.4
65432105,1037.9,1112.3,930.5,0,13.9,1,4.2,6,8.2
65432106,1078.0,1192.6,909.3,0,23.2,1,0.4,6,13.3
65432107,1043.2,1231.9,908.2,0,22.2,1,4.1,8,13.9
65432108,1135.9,1300.8,977.3,0,22.1,1,3.2,3,13.9
65432109,1075.8,1273.3,925.4,0,18.1,2,8.2,1,13.3
65432110,687.5,721.0,660.0,0,5.3,5,1.2,3,2.9
65432111,672.9,720.2,648.6,0,4.4,5,0.8,5,2.4
65432112,693.5,718.7,661.5,0,4.1,7,1.7,7,3.0
65432113,728.1,803.3,686.1,0,9.8,8,1.9,7,3.8
65432114,797.2,983.4,723.8,0,17.4,8,2.5,6,9.0
65432115,878.1,1006.9,778.5,0,20.3,1,3.3,7,12.2
65432116,982.7,1175.8,840.9,0,24.7,5,2.7,8,12.6
65432117,1101.7,1272.4,888.7,0,25.1,5,1.3,6,13.2
65432118,1231.3,1449.7,1076.6,0,25.0,6,8.1,5,17.1
65432119,1130.0,1414.7,962.1,0,23.7,4,8.9,4,16.7
65432120,718.0,752.1,677.0,0,4.1,5,0.6,5,2.1
65432121,697.5,755.9,659.5,0,4.5,3,0.8,4,2.8
65432122,699.1,771.5,666.0,0,6.8,7,1.4,7,3.6
65432123,748.5,836.5,708.9,0,7.9,6,0.7,4,3.5
65432124,788.6,834.6,753.7,0,6.2,7,2.4,7,4.0
65432125,933.3,1043.3,811.6,0,15.7,6,5.6,8,12.4
65432126,1042.7,1161.9,930.7,0,15.9,6,3.8,1,9.3
65432127,1186.4,1367.9,1029.0,0,26.9,6,7.9,6,14.6
65432128,1405.5,1632.1,1223.3,0,28.1,6,12.8,7,17.8
65432129,1369.9,1578.8,1154.7,0,26.8,4,6.2,2,17.9
65432130,747.9,791.8,718.7,0,4.3,4,0.9,5,2.6
65432131,715.9,760.7,678.3,0,4.3,3,1.6,5,2.7
65432132,696.7,737.6,669.1,0,4.3,8,1.3,5,2.5
65432133,741.9,837.9,681.6,0,9.7,8,1.0,7,5.6
65432134,831.8,906.2,742.6,0,10.9,8,4.0,7,7.7
65432135,911.8,1003.4,823.1,0,12.0,8,2.5,7,7.4
65432136,1031.1,1219.7,903.1,0,15.1,7,4.1,7,10.4
65432137,1277.3,1596.3,1077.9,0,25.8,8,12.1,7,19.1
65432138,1326.1,1600.8,1101.2,0,27.1,3,15.1,6,20.0
65432139,1201.5,1448.5,1034.2,0,26.7,1,10.1,1,18.3
65432140,772.2,806.3,737.3,0,4.0,3,1.1,3,2.9
65432141,737.3,761.3,717.4,0,3.8,3,1.7,5,2.1
65432142,724.2,744.3,691.4,0,2.7,5,1.4,5,2.1
65432143,714.8,743.5,684.7,0,4.2,4,0.4,5,2.8
65432144,759.5,871.9,701.4,0,10.5,8,2.1,7,7.0
65432145,855.6,953.3,756.8,0,13.3,8,5.1,7,9.0
65432146,978.3,1108.0,877.6,0,11.6,8,3.7,8,8.9
65432147,1114.0,1255.9,948.4,0,19.2,8,9.0,7,13.0
65432148,1191.1,1322.5,1030.2,0,18.9,8,7.8,2,11.8
65432149,1037.0,1186.4,950.3,0,15.7,1,6.4,2,10.4
65432150,805.2,852.5,761.8,0,4.9,4,3.1,4,4.0
65432151,767.0,795.6,739.5,0,3.1,4,1.7,4,2.4
65432152,754.0,775.5,721.6,0,2.8,6,1.6,5,2.2
65432153,751.1,772.6,711.7,0,5.1,4,1.1,5,2.7
65432154,747.7,799.0,704.8,0,10.4,5,1.4,6,4.7
65432155,803.3,874.9,740.9,0,8.1,8,2.9,7,5.5
65432156,882.0,986.8,813.9,0,12.4,8,5.4,1,7.9
65432157,974.8,1154.5,837.2,0,16.0,1,5.6,1,11.9
65432158,1092.4,1219.2,927.8,0,19.0,6,0.9,1,12.8
65432159,980.0,1178.2,868.0,0,22.8,4,5.0,2,12.7
65432160,847.3,916.9,796.4,0,6.4,3,4.2,4,5.1
65432161,798.7,827.7,771.8,0,3.1,4,2.3,4,2.6
65432162,789.2,811.2,755.6,0,3.4,5,2.0,5,2.5
65432163,774.0,803.6,727.6,0,4.6,3,1.7,4,2.4
65432164,801.6,942.6,723.9,0,13.8,7,1.6,8,7.1
65432165,802.7,917.2,759.5,0,10.1,6,2.4,7,5.6
65432166,885.6,1086.8,777.9,0,19.0,6,3.9,7,11.2
65432167,1067.4,1249.5,854.0,0,20.4,6,3.2,5,14.3
65432168,1125.9,1250.3,928.1,0,19.8,1,1.5,8,12.6
65432169,1077.4,1221.0,875.9,0,21.9,8,4.4,8,13.2
